species,corolla_tube_length,total_large_anther_length,PC1_corolla,PC2_corolla,PC1_anther,PC2_anther
Disterigma_dumontii,2.140066163,1.32175584,0.087101654,-0.127977214,-0.211398677,-0.026895712
Disterigma_empetrifolium,2.197224577,0.405465108,0.054335893,-0.041316038,,
Disterigma_hiatum,1.757857918,0.693147181,,,-0.126709894,-0.111147562
Disterigma_hiatus,,,0.074106455,0.067497853,-0.157145438,-0.111000032
Disterigma_humboldtii,2.197224577,1.280933845,-0.081092112,0.047277254,-0.176723386,-0.013570525
Disterigma_leucanthum,2.197224577,1.704748092,,,,
Disterigma_luteynii,1.504077397,1.098612289,,,,
Disterigma_micranthum,1.32175584,0.371563556,0.12938655,0.053682551,,
Disterigma_ollacheum,2.054123734,1.32175584,0.092393546,0.059602474,-0.208287267,0.010805569
Disterigma_ovatum,,1.16315081,,,,
Disterigma_pallidum,2.397895273,,,,,
Disterigma_pentandrum,2.302585093,1.619388243,,,,
Disterigma_pernettyoides,2.602689685,1.32175584,0.016309927,0.018514676,-0.255247809,0.003722987
Disterigma_rimbachii,2.397895273,,,,,
Disterigma_stereophyllum,,,-0.108840367,0.015384636,,
Disterigma_synanthum,2.128231706,1.568615918,-0.183350251,0.010844154,-0.28642019,0.00692551
Disterigma_trimerum,0.765467842,1.667706821,,,,
Disterigma_ulei,1.252762968,0.693147181,,,,
Disterigma_utleyorum,2.1102132,1.32175584,0.107773323,-0.049010709,,
Disterigma_verruculatum,2.091864062,1.029619417,-0.090525646,0.059288383,-0.215583473,0.050388536
Dracophyllum_alticola,2.48490665,0.139761942,-0.160399222,0.019102284,0.019207454,-0.023232191
Dracophyllum_arboreum,,,0.034484249,0.059893902,,
Dracophyllum_balansae,1.252762968,-0.693147181,-0.072976474,0.044397996,0.062420369,-0.040772085
Dracophyllum_cosmelioides,1.386294361,-0.84397007,-0.112265332,0.042945144,0.044541784,-0.001257732
Dracophyllum_fiordense,0.810930216,0.559615788,0.125417001,-0.055040736,-0.041192388,-0.018129825
Dracophyllum_fitzgeraldii,1.609437912,-0.162518929,-0.087275527,0.038069862,-0.006729558,-0.014436318
Dracophyllum_latifolium,0.559615788,0.336472237,0.146994202,-0.09206745,,
Dracophyllum_longifolium,,,-0.024673788,0.015139114,,
Dracophyllum_mackeeanum,1.558144618,-0.510825624,,,,
Dracophyllum_macranthum,2.862200881,0.916290732,-0.252239102,-0.011565012,,
Dracophyllum_marmoricola,1.658228077,-0.287682072,0.01274354,0.053273234,0.10946483,-0.016657015
Dracophyllum_menziesii,1.704748092,0.336472237,0.039305798,0.022090893,-0.002424404,-0.019905871
Dracophyllum_milligani,,,-0.077356655,0.039233253,,
Dracophyllum_milliganii,0.916290732,-0.287682072,,,-0.038734157,-0.005223182
Dracophyllum_oceanicum,1.704748092,0.559615788,-0.007327232,0.019814337,-0.04916419,-0.013196397
Dracophyllum_ophioliticum,1.791759469,0,-0.06612233,0.054037816,0.178435724,-0.002134744
Dracophyllum_ouaiemense,2.079441542,0.182321557,-0.206650753,0.023838735,0.086410181,0.008899064
Dracophyllum_patens,,,-0.03923558,0.030623012,,
Dracophyllum_prostratum,,,0.09223143,0.008361468,,
Dracophyllum_ramosum,1.446918983,-0.287682072,-0.036565364,0.031197157,,
Dracophyllum_sayeri,1.386294361,0.223143551,0.019450918,0.003267156,-0.033917156,-0.017453912
Dracophyllum_scoparium,,,0.033490822,-0.069317719,,
Dracophyllum_secundum,1.945910149,0.223143551,-0.128882579,0.028237726,0.208071924,-0.021465284
Dracophyllum_sinclairii,,,0.020274372,-0.017138918,,
Dracophyllum_strictum,1.558144618,-0.287682072,0.06932708,0.034912883,0.036068003,-0.044709336
Dracophyllum_townsonii,0.810930216,0.336472237,0.169625836,-0.125057367,-0.094703656,-0.007857609
Dracophyllum_traversii,1.047318994,0.641853886,0.187912244,-0.146155883,-0.094567468,-0.014778659
Dracophyllum_verticillatum,,,-0.134074539,-0.004416377,0.001295047,0.025795204
Elliottia_bracteata,-6.907755279,,,,,
Elliottia_pyroliflora,-6.907755279,,,,,
Elliottia_racemosa,-6.907755279,-0.162518929,,,-0.026849311,0.028863965
Empedoclesia_stipitata,3.349904087,1.791759469,-0.182890068,0.033913314,,
Empetrum_nigrum,,,,,0.165853183,-0.027005654
Enkianthus_campanulatus,,,0.130313685,-0.043700283,0.274603013,0.004667233
Enkianthus_cernuus,,,0.125484513,-0.051599647,,
Enkianthus_chinensis,2.140066163,,0.110393516,-0.257563726,0.236187773,-0.001206054
Enkianthus_deflexus,2.442347035,,,,0.252274053,-0.004190147
Enkianthus_pauciflorus,2.197224577,,0.152729992,-0.164733826,0.201977758,0.031791223
Enkianthus_perulatus,2.140066163,,0.146649808,0.135616045,0.223469546,-0.000613195
Enkianthus_quinqueflorus,2.302585093,,0.090656227,0.017369715,0.165202201,0.052908119
Enkianthus_serotinus,,,,,0.118630309,0.063338417
Enkianthus_serrulatus,2.302585093,,0.13455656,0.003258991,0.077929801,0.026547084
Enkianthus_subsessilis,,,0.19538443,0.115149268,0.142009632,-0.014199046
Enkianthus_taiwanianus,,,,,0.329024937,-0.010080504
Enkianthus_tubulatus,,,,,0.157554085,0.033876086
Epacris_apsleyensis,0.916290732,0,0.011656926,0.005255223,0.015537526,0.128459273
Epacris_cerasicollina,1.252762968,0.336472237,,,-0.017618223,-0.040656014
Epacris_cerasicollona,,,-0.002402535,0.040807148,,
Epacris_crassifolia,,,-0.077348321,0.044825849,,
Epacris_glabella,,,,,0.208909496,0.106692832
Epacris_grandis,1.504077397,0.405465108,0.037974192,0.026552375,0.061082961,0.084056906
Epacris_impressa,2.493205453,,-0.216812509,-0.001659983,,
Epacris_lanuginosa,,,-0.25116361,-0.011610794,,
Epacris_moscalianus,1.208960346,0.223143551,0.033533779,-0.030038234,0.072882552,0.108120018
Epacris_tasmanica,1.32175584,0.223143551,0.030230583,-0.028200318,0.040645412,0.093121008
Epacris_virgata,,,0.016862895,-0.051967034,0.082239305,0.075774034
Epigaea_asiatica,,,0.053862597,0.053675075,,
Epigaea_repens,2.079441542,,-0.006696054,0.051084211,-0.164109622,0.037639351
Eremia_brevifolia,,,0.179131138,-0.108030936,0.134267875,-0.013125129
Eremia_calycina,,,0.052677878,-0.235722863,0.29115863,-0.084737288
Eremia_curvistyla,,,0.076818406,-0.100306435,0.111037533,-0.021968835
Eremia_florifera,,,0.133749877,-0.194186322,0.206043449,-0.007487319
Eremia_peltata,,,0.024487146,-0.153379791,0.068154968,-0.031658296
Eremia_recurvata,,,0.100020346,-0.144140853,-0.004240017,0.00650044
Eremia_totta,,,0.088799649,0.090192606,0.181208408,0.044744759
Eremiella_outeniquae,,,0.107323266,-0.128846801,0.142423995,-0.030358806
Erica_abbottii,1.386294361,0.048790164,0.0601902,-0.065880399,0.04071471,-0.028069958
Erica_abietina,3.0301337,,-0.23631925,-0.005271428,,
Erica_acuta,1.568615918,,,,,
Erica_aestiva,,,0.190956026,-0.043805135,,
Erica_agglutinans,1.252762968,0,0.036925797,0.045082615,0.050854913,-0.0330478
Erica_albertyniae,1.252762968,0,-0.167538457,-0.007764541,-0.059999871,-0.097484262
Erica_algida,,,0.096333883,-0.109846948,,
Erica_alnea,0.693147181,-0.223143551,0.178980992,0.066165817,0.084425346,-0.016388099
Erica_alopecurus,0.955511445,,,,,
Erica_alticola,0.262364264,,,,,
Erica_amalophylla,1.252762968,-0.314710745,0.157414931,-0.134152402,0.080155372,-0.045323436
Erica_amicorum,1.064710737,0.182321557,0.165567923,-0.269983162,0.10155097,0.053453962
Erica_ampullacea,2.687847494,,-0.191645753,0.023135238,-0.075769676,-0.093550994
Erica_anemodes,0.916290732,0.09531018,0.135441438,-0.159499112,0.345950118,-0.029273307
Erica_angulifer,,,,,0.078782209,-0.075274104
Erica_anguliger,0.810930216,-0.051293294,-0.080412921,-0.033954628,,
Erica_angulosa,0.587786665,-0.105360516,-0.030412702,0.016961091,-0.036014471,-0.02030251
Erica_annalis,3.218875825,1.609437912,-0.266432653,-0.005540858,-0.215911204,0.022167508
Erica_arachnocalyx,1.047318994,-0.223143551,-0.029468099,0.057523116,0.143274814,-0.080669124
Erica_arborea,0.726669873,,,,0.147113498,0.027835439
Erica_areolata,0.182321557,-0.162518929,0.139121842,-0.069289164,0.234666221,0.015176832
Erica_aristata,3.091042453,,-0.222275209,0.005183113,-0.045628683,-0.034593714
Erica_armata,1.609437912,,,,,
Erica_artemesioides,,,,,0.19395048,0.019528886
Erica_artemisioides,0.09531018,-0.162518929,0.131593962,-0.032392195,,
Erica_atromontana,0.916290732,0.262364264,-0.00382987,0.06022124,0.023625573,-0.035253148
Erica_australis,2.014903021,,,,,
Erica_autumnalis,,,0.177584736,-0.080701473,,
Erica_axillaris,0.223143551,-0.356674944,0.139260024,-0.14064679,0.137841174,0.001765398
Erica_azorica,0.485507816,,,,,
Erica_bakeri,1.029619417,,0.158022999,0.106404692,0.175541374,0.077644156
Erica_banksia,2.708050201,,-0.187024888,0.010498905,-0.043668793,0.051229641
Erica_bauera,2.308567165,-0.040821995,-0.165601498,0.012231251,0.040917014,-0.096704882
Erica_baueri,2.90690106,,,,,
Erica_benguelensis,,,0.112975175,-0.214957339,0.120277186,0.0482882
Erica_benthamiana,1.011600912,-0.223143551,-0.123031802,-0.039941494,-0.132923199,-0.047121187
Erica_bergiana,1.187843422,,0.276060888,0.099620334,0.39021381,-0.078744032
Erica_bibax,2.957511061,0.350656872,-0.21509743,-0.002089065,0.078362731,0.066629464
Erica_binaria,0.223143551,-0.430782916,0.091353081,-0.036900217,0.06661824,-0.0165487
Erica_blaerioides,1.193922468,-0.287682072,-0.006317859,0.075960157,0.129971253,-0.017080914
Erica_blenna,2.468099531,,0.066386787,0.117327722,0.084338762,-0.054074863
Erica_bocquetii,,,,,-0.131384218,0.005176246
Erica_bokkeveldia,0.875468737,-0.693147181,0.054982295,-0.190824073,0.37805708,-0.024610205
Erica_bolusanthus,0.559615788,0,0.084849396,-0.015416684,0.084773353,-0.013726744
Erica_boucheri,0,-0.510825624,0.148455324,-0.047859863,0.146190255,0.003601678
Erica_brachialis,2.617395833,,-0.189847893,0.030365843,,
Erica_bracteolaris,,,-0.098704303,0.04886248,0.268206856,0.003525713
Erica_bredasiana,0.405465108,-0.105360516,0.086267258,-0.178544462,0.149259281,0.091346142
Erica_brevifolia,0.405465108,-0.105360516,,,,
Erica_brownii,0.587786665,-0.693147181,-0.175771083,0.012107023,0.039974899,-0.033460819
Erica_brownleeae,0.916290732,,,,,
Erica_bruniades,0.993251773,,0.277495968,0.093924372,,
Erica_burcheliana,0.741937345,0,,,,
Erica_burchelliana,,,-0.004553741,0.011823056,-0.002016088,-0.007670095
Erica_cabernetea,1.435084525,0,0.211677462,-0.091955858,0.097370909,-0.031922358
Erica_calcareophila,2.197224577,,-0.023017205,0.08411479,,
Erica_calcicola,0.470003629,0,0.083293598,-0.148179782,0.069972097,-0.041556714
Erica_calycina,0.993251773,-0.693147181,0.147086022,-0.035599192,0.012861926,0.003346487
Erica_cameronii,2.850706502,,-0.032193076,0.080878071,0.098125203,0.018908801
Erica_campanularis,1.435084525,,0.069233076,0.005865269,,
Erica_canaliculata,0.641853886,,,,,
Erica_capitata,1.16315081,,0.343421885,0.112438165,0.115429995,-0.034878041
Erica_caprina,0.78845736,-0.356674944,0.004092177,-0.112830728,0.05740621,-0.027972062
Erica_carnea,,,,,-0.047372577,0.026512753
Erica_cavartica,2.197224577,0.182321557,0.016038367,0.032341244,0.095778469,-0.022791245
Erica_cedromontana,0.916290732,-0.356674944,0.211287222,-0.143164843,0.173945811,-0.092145089
Erica_ceraria,2.890371758,0.470003629,-0.050597026,0.040657853,0.217644607,0.000853488
Erica_cereris,1.098612289,0,0.039113989,0.080508341,0.144563916,-0.050702125
Erica_cetrata,0.78845736,0.09531018,0.078857984,-0.109348764,0.120181293,-0.044899355
Erica_chamissonis,0.470003629,,0.135189178,-0.206778113,0.139821491,0.004271313
Erica_chionodes,1.193922468,-0.693147181,0.101437115,0.063484578,0.154227292,-0.029506948
Erica_chionophila,0.693147181,,0.169487638,0.028735787,0.009555425,-0.013903451
Erica_chiroptera,1.147402453,0.139761942,0.047755225,-0.057656382,0.077856958,-0.027983175
Erica_chloroloma,2.624668592,,-0.17714339,0.019818829,,
Erica_chrysocodon,1.526056303,,0.010402628,-0.149528364,0.052388564,0.033905497
Erica_ciliaris,2.302585093,,0.080536466,0.081103688,,
Erica_ciliaris_ciliaris,1.252762968,-0.162518929,,,,
Erica_ciliaris_ciliciiflora,1.011600912,0,,,,
Erica_cinerea,1.924248652,,0.006941198,0.063661241,0.145566901,0.034960419
Erica_clavisepala,0.916290732,,0.081642171,0.083006015,0.197616578,-0.033160112
Erica_coarctata,0.182321557,,,,,
Erica_coccinea,1.871802177,,-0.25166896,-0.019707598,-0.194142546,0.006757152
Erica_colorans,2.569554124,-0.072570693,-0.234154756,-0.003349999,0.218532431,0.002144825
Erica_conspicua,3.67478053,1.196948189,-0.237558168,-0.021349565,-0.090100413,-0.03354578
Erica_cooperi,,,0.027503943,0.063603054,0.176663208,-0.009614167
Erica_copiosa,0.336472237,,0.143938118,-0.187659609,,
Erica_corifolia,1.568615918,,0.009014389,0.046150959,0.178339163,0.035581261
Erica_cremea,2.309560707,0.21511138,-0.08474579,0.024789921,0.082529625,-0.01233048
Erica_crenata,1.335001067,,0.144000416,0.086672012,0.344688691,-0.046210108
Erica_cristata,2.261763098,,-0.175500181,0.011168058,0.103466365,-0.132231846
Erica_croceovirens,3.238678452,0.955511445,-0.23337382,-0.001441392,-0.102951901,-0.004609774
Erica_cubica,0.693147181,,0.12164281,-0.093003771,0.06200226,-0.034916032
Erica_cumuliflora,0.955511445,,,,,
Erica_cunonensis,2.014903021,0.182321557,,,0.162518954,-0.025081369
Erica_cunoniensis,,,0.000208224,-0.018393935,,
Erica_curtophylla,0.336472237,,0.154667854,0.02342287,,
Erica_curviflora,3.044522438,,-0.222879553,-0.006165518,-0.024645634,-0.003700421
Erica_curvirostris,1.16315081,,,,,
Erica_curvistyla,0.741937345,-0.510825624,0.051065055,-0.091602948,0.101397303,-0.029399861
Erica_cylindrica,2.292534757,,-0.296188276,-0.037786794,0.170388829,-0.007468615
Erica_cymosa,1.252762968,-0.356674944,0.078482281,-0.020496554,0.138925253,-0.06115266
Erica_daphniflora,1.945910149,,-0.046167553,0.065030597,0.167090193,0.017572191
Erica_densifolia,3.211246798,0.943905899,-0.285567532,-0.033129784,-0.105281075,-0.016058505
Erica_depressa,1.335001067,,0.136198119,-0.002362854,0.16827134,0.054809034
Erica_desmantha,0.693147181,,,,,
Erica_dispar,1.098612289,0,-0.218100064,-0.008665059,-0.021006363,-0.008585983
Erica_dolfiana,1.223775432,-0.105360516,0.100149613,-0.01545261,0.325327286,-0.017986501
Erica_doliiformis,2.397895273,,-0.101657134,0.037984187,,
Erica_dominans,0.641853886,,,,,
Erica_drakensbergensis,0.916290732,,0.144513462,-0.037041731,0.238943699,-0.042827431
Erica_dregei,1.252762968,0.405465108,-0.250710653,-0.017857525,-0.03982065,-0.006953224
Erica_ecklonii,0.916290732,-0.287682072,-0.036643132,0.014577744,0.003391646,-0.051676924
Erica_eglandulosa,-0.356674944,-0.798507696,0.038313038,-0.169610518,0.05626521,0.045460127
Erica_erasmia,,,0.103942265,0.106191206,,
Erica_eremioides,0.916290732,0.09531018,0.054610552,-0.016214273,0.183413945,-0.011110389
Erica_erina,0.559615788,0.182321557,-0.116549228,0.008427885,-0.066447824,-0.029453635
Erica_eriocephala,,,-0.03285684,0.039922981,-0.139819916,0.005207631
Erica_euryphylla,1.252762968,-0.105360516,0.129511619,-0.048687797,-0.032699903,0.032339826
Erica_excavata,2.451005098,,0.142714894,0.01793986,,
Erica_fascicularis,3.234749174,,-0.259939642,-0.014759125,-0.071574318,-0.006935233
Erica_fastigiata,,,-0.143668735,0.038275107,0.424586014,-0.007573425
Erica_ferrea,,,0.04019225,-0.040558468,,
Erica_fervida,1.609437912,,-0.059405546,0.071675795,0.083155019,0.028038934
Erica_filipendula,2.379546134,,-0.048975066,0.051680648,0.07114734,0.052289646
Erica_fimbriata,,,,,0.154508761,0.036100907
Erica_flacca,1.064710737,,,,,
Erica_flavisepala,2.014903021,0.223143551,-0.062403218,0.055621527,0.021825907,-0.092315785
Erica_florifera,0.262364264,-0.916290732,,,,
Erica_fontana,,,-0.19736408,-0.006928509,0.226055241,-0.025875594
Erica_formosa,1.098612289,,0.324602024,0.104176432,0.244392789,-0.022080723
Erica_georgica,1.887069649,,-0.158053465,0.033969748,0.242442851,-0.00647347
Erica_gerhardii,2.803360381,0.182321557,-0.125460113,0.036695997,0.219712919,0.014804353
Erica_gibbosa,0.832909123,,0.173022008,0.096567982,0.234888348,0.018211518
Erica_glabella,1.386294361,0.223143551,-0.141184755,-0.012172566,-0.06749174,0.045579739
Erica_glandulosa,,,-0.18551087,-0.020443975,0.043336299,-0.057130105
Erica_glandulosa_bondiae,2.292534757,1.821318271,,,,
Erica_glandulosa_breviflora,2.258633205,1.871802177,,,,
Erica_glandulosa_fourcadei,2.91993056,1.873339456,,,,
Erica_glandulosa_glandulosa,3.03543364,1.93441577,,,,
Erica_glaphyra,0.262364264,,,,,
Erica_glauca,2.128231706,,,,0.033814455,0.041158589
Erica_globiceps,1.252762968,0.223143551,-0.237822521,-0.008954199,,
Erica_glomiflora,1.589235205,,0.070469382,0.128604169,,
Erica_glumiflora,0.741937345,,,,,
Erica_glutinosa,2.079441542,,-0.047821659,0.056412686,0.130012689,-0.00071241
Erica_goatcheriana,,,0.108853672,0.051008697,,
Erica_greyii,,,0.222513878,0.086994758,,
Erica_grisbrookii,2.128231706,,,,,
Erica_gysbertii,2.360854001,,,,,
Erica_haematosiphon,2.76000994,,-0.223776147,-0.006327972,0.148847255,-0.021526516
Erica_halicacaba,2.541601993,,0.093994584,0.079010284,0.083694268,-0.025226843
Erica_hebdomadalis,0.470003629,-0.223143551,0.097662863,-0.313518027,0.100666005,-0.049947821
Erica_heliophila,,,-0.102325109,0.035541701,,
Erica_herbacea,1.704748092,,,,,
Erica_hermani,1.08180517,0.336472237,0.100271359,-0.084041854,0.077371416,-0.042347797
Erica_hexensis,0.405465108,-0.223143551,0.16396596,-0.111698779,0.218057677,-0.024263047
Erica_hibbertii,3.165475048,,,,,
Erica_hispidula,,,0.198610383,0.025173537,,
Erica_hispiduloides,0.405465108,-0.916290732,0.169394727,-0.011362263,0.173969351,0.016104587
Erica_hitiflora,,,,,0.13122403,-0.016974769
Erica_hottentotica,1.098612289,0,0.154205839,0.024060813,0.162819569,-0.009035808
Erica_humidicola,1.504077397,-0.223143551,0.136565789,-0.103300267,0.205362473,-0.01053974
Erica_ignita,2.350422422,-0.116533816,-0.13065744,0.026423248,0.23229962,0.024565188
Erica_imbricata,0.802001585,,0.083659291,0.059503197,0.096355052,-0.010403102
Erica_inaequalis,1.252762968,0.182321557,-0.042660659,0.045872815,-0.033311523,-0.024817552
Erica_incana,0.936093359,-0.356674944,,,,
Erica_inflata,1.774952351,,-0.010497985,0.05960925,0.355281049,-0.007979007
Erica_inflaticalyx,0.693147181,-0.051293294,0.080700449,-0.010273412,0.03150432,-0.082721352
Erica_ingeana,1.098612289,,,,,
Erica_innovans,1.609437912,-0.223143551,-0.265257836,-0.020504719,-0.03102922,-0.063656586
Erica_interrupta,1.252762968,0.182321557,-0.0597681,0.058036769,-0.161098292,0.007139752
Erica_involucrata,0.832909123,,0.169076049,0.037396191,0.055427655,-0.050215642
Erica_ioniana,0.916290732,-0.223143551,0.169829162,-0.01034547,0.057478767,0.013477814
Erica_jacksoniana,1.011600912,-0.510825624,-0.020178219,0.001825927,0.247971435,0.018943703
Erica_jananthus,1.098612289,-0.356674944,0.162544618,-0.097020995,0.1269921,-0.044591712
Erica_jonasiana,1.252762968,0,0.058745162,0.081665155,-0.000263658,0.028771876
Erica_junonia,3.387774361,,-0.283753261,-0.026339013,-0.01117349,-0.048589575
Erica_kammanassieae,0.693147181,0,0.124288564,-0.015424754,0.135948874,-0.058442341
Erica_karwyderi,1.504077397,0.182321557,-0.045186908,0.031801284,-0.081655902,-0.045336405
Erica_kingaensis,,,0.124203844,0.087043856,,
Erica_kogelbergensis,2.7047113,0.500775288,-0.168563263,0.031817801,0.065824182,0.000695707
Erica_labialis,1.609437912,0.139761942,-0.242204384,-0.016186034,-0.108896119,-0.036578119
Erica_lasciva,0.405465108,,,,,
Erica_lateralis,1.974081026,,0.166675189,0.099353879,,
Erica_lateriflora,1.386294361,0,-0.034038695,0.07285619,0.023846611,-0.022471452
Erica_latituba,2.635479508,0.364643114,-0.110298967,0.043466085,0.204195703,-0.004905469
Erica_lehmannii,0.916290732,,,,,
Erica_leptopus,,,0.131001601,-0.084166987,,
Erica_leucanthera,0.336472237,,0.102079346,-0.157450815,,
Erica_leucosiphon,,,-0.153696917,0.007739568,,
Erica_leucotrachela,2.745345986,0.604315967,-0.142421528,0.016800205,0.134838968,0.012299242
Erica_limnophila,1.658228077,-0.223143551,0.151225933,0.072098001,0.110902039,-0.015944073
Erica_lithophila,2.014903021,0.048790164,0.005865374,0.077047892,0.223179684,-0.006320625
Erica_longiaristata,,,0.041205952,-0.001111764,,
Erica_lucida,,,,,0.194085072,-0.018117253
Erica_lusitanica,1.504077397,,,,,
Erica_lutea,1.871802177,,-0.149563719,0.025072403,0.150860884,0.02632424
Erica_mackaiana,1.791759469,,,,,
Erica_macowanii,3.048798994,0.559615788,-0.185170111,0.013788529,0.181624153,0.002674004
Erica_magestrati,1.098612289,0.916290732,,,0.130565103,-0.015864035
Erica_magistrati,,,0.174595786,0.045817201,,
Erica_magnisylvae,0.470003629,-0.510825624,0.140878316,-0.220345389,,
Erica_malmesburiensis,0.530628251,-0.916290732,-0.13743076,-0.016707507,0.084669557,-0.029807493
Erica_mammosa,,,-0.176445624,0.00713054,0.025198563,-0.033424047
Erica_manipuliflora,1.178654996,,,,,
Erica_margaritacea,1.150572028,,0.158399594,0.040317164,,
Erica_massonii,3.135494216,,-0.234538231,0.001305793,,
Erica_mediterranea,,,-0.031339324,0.035503568,-0.076365268,0.032404765
Erica_melanomontana,0.048790164,-0.798507696,0.105537799,-0.112497908,0.10946329,-0.003265534
Erica_melanthera,0.78845736,,0.146263318,-0.175406404,,
Erica_miniscula,0.182321557,-0.510825624,0.114180128,-0.094828134,0.022018332,0.025317623
Erica_minutiflora,0.875468737,-0.356674944,,,,
Erica_montis-hominis,0.693147181,-0.356674944,0.031923926,-0.089732526,0.193749456,-0.065368514
Erica_mucosa,,,,,0.030890856,-0.000452023
Erica_multiflexuosa,,,0.092668496,-0.07498686,,
Erica_multiflora,1.504077397,,,,,
Erica_multumbellifera,1.064710737,,0.120324594,0.030739748,0.349435871,-0.054704422
Erica_muscosa,-0.162518929,-0.223143551,,,,
Erica_myriocodon,,,0.188690735,-0.082549236,,
Erica_nabea,,,-0.145304154,0.037035364,-0.089242438,-0.041737065
Erica_nana,3.095577609,,-0.163353832,0.013223852,,
Erica_navigatoris,1.609437912,0,0.213809931,0.03330968,0.18463729,-0.043787616
Erica_nervata,,,0.13374875,-0.211421566,,
Erica_niveniana,0.559615788,0.182321557,-0.085442476,0.02894751,-0.115960175,-0.061585573
Erica_nivenii,1.098612289,-0.223143551,,,,
Erica_nudiflora,1.064710737,,,,,
Erica_oatesii,2.32238772,,-0.012536989,0.072982848,0.132260275,0.028491681
Erica_obliqua,1.686398954,,0.104764517,0.087491987,0.026487091,0.046999685
Erica_oblongiflora,,,-0.030029909,0.07162189,,
Erica_obtusata,0.832909123,,0.321281274,0.102415635,0.17843413,0.057143377
Erica_occulta,0.405465108,,,,,
Erica_odorata,1.902107526,,0.128737353,0.027241888,,
Erica_oliveri,0.405465108,,0.427303497,0.036425222,,
Erica_oreotragus,1.193922468,-0.223143551,0.094206073,0.074558038,0.094139864,-0.047113195
Erica_ostiaria,,,0.039716721,0.081088602,,
Erica_outeniquae,0.693147181,-0.287682072,0.120985401,-0.108579189,0.056611783,-0.054578381
Erica_parilis,1.410986974,,,,,
Erica_parviflora,0.916290732,0.09531018,,,,
Erica_parviporandra,0.262364264,-0.430782916,0.104344237,-0.168000288,0.286957077,-0.023212724
Erica_passerinae,,,0.145138854,-0.153503895,,
Erica_patersonia,2.687847494,,-0.066378659,0.055951984,0.372557369,-0.025805267
Erica_patersonii,2.753660712,,,,,
Erica_paucifolia,1.32175584,0.09531018,-0.210324349,-0.004932156,-0.078795141,-0.073851542
Erica_peltata,0.78845736,0.182321557,0.211465866,-0.13311239,,
Erica_penduliflora,2.862200881,,,,,
Erica_perplexa,0.182321557,-0.356674944,0.115470639,-0.208256428,0.189439961,-0.053285197
Erica_perspicua,3.083285171,0.285178942,-0.221508197,-0.00120666,0.214623676,-0.06358529
Erica_phacelanthera,0.336472237,-0.693147181,0.071876602,-0.066728238,0.120857491,-0.085445802
Erica_phaeocarpa,1.252762968,0,-0.090481228,0.017719768,-0.020483437,-0.006981907
Erica_physodes,1.824549292,,0.12558961,0.09950954,0.038705553,0.128099194
Erica_physophylla,0.78845736,,,,,
Erica_pillansii,2.595254707,,,,,
Erica_pilosiflora,0.936093359,0,-0.084257841,0.043078251,0.015354332,-0.045940076
Erica_piquetbergensis,1.609437912,0.262364264,-0.20350064,-0.004339415,-0.076128261,0.010281041
Erica_placentiflora,0.405465108,,,,,
Erica_platycalyx,1.504077397,-0.510825624,0.117654698,0.10478946,0.274275985,-0.026501386
Erica_plukenetii,,,-0.121949802,0.031438874,,
Erica_plumosa,1.088561953,0,0.015850566,-0.063227695,,
Erica_prolata,3.401197382,0.78845736,-0.272301803,-0.029102064,-0.041198316,-0.035420373
Erica_propendens,,,0.00836257,0.034598418,0.090190118,-0.011659701
Erica_psittacina,1.386294361,0.139761942,0.211933459,0.030217965,0.148148664,0.048016866
Erica_puberiflora,0.470003629,0,,,,
Erica_puberulifera,,,,,0.034993407,-0.035522292
Erica_pubescens,1.410986974,,0.22016361,0.084604349,-0.006994891,0.139461873
Erica_pubigera,,,-0.069147421,0.058795906,,
Erica_pulchella,1.131402111,,,,,
Erica_pulchelliflora,0.916290732,-0.223143551,-0.202860146,-0.032708493,-0.041142454,0.081029813
Erica_pycnantha,,,-0.155497719,0.041838513,,
Erica_pyxidiflora,1.098612289,,,,0.525662813,-0.059527037
Erica_quadrangularis,0.470003629,,,,,
Erica_quadrifida,1.098612289,0,-0.008683015,0.031066086,-0.029067261,0.001393925
Erica_radicans,1.178654996,0,-0.049589884,0.035489317,0.037157347,-0.048135628
Erica_recta,1.526056303,,,,,
Erica_recurvata,1.252762968,-0.356674944,,,,
Erica_recurvifolia,1.252762968,-0.510825624,0.04528629,-0.132250605,0.006730036,-0.003302584
Erica_regia,,,-0.188061447,0.005913403,0.09382987,-0.081345056
Erica_remota,0,-0.510825624,0.108651169,-0.03463961,0.192094953,-0.060891204
Erica_retorta,2.602689685,,-0.222008805,-0.005974865,0.005692932,-0.241447046
Erica_rhopalantha,0.916290732,,,,,
Erica_ribisaria,1.30833282,,0.226097544,0.102553051,,
Erica_richardii,1.504077397,0.09531018,0.176864715,0.096831072,0.136641269,0.088573243
Erica_rigida,1.481604541,-0.105360516,,,,
Erica_rigidula,0.182321557,-0.430782916,0.102446377,-0.188837344,,
Erica_rimarum,1.098612289,-0.693147181,0.152226149,-0.09676192,0.308477401,0.029729484
Erica_rivularis,,,0.009028684,0.059978587,,
Erica_rosacea,1.098612289,0,0.023193492,-0.011459153,-0.119284443,-0.031319648
Erica_rudolfii,,,-0.017514959,0.074277752,,
Erica_rugata,0.223143551,-0.105360516,0.132234957,-0.168951336,0.135061643,-0.007563417
Erica_rusticola,0.916290732,-0.223143551,,,0.141002659,-0.02174758
